מספר בדיקה,TC_02,תאריך,04/10/2023,
3,"לחץ על לחצן ""הדגשת כותרות""",הכותרות באתר צריכות להיות מובלטות,הכותרות באתר מובלטות ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""הגדלת תכנים"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הגדלת תכנים""",התכנים באתר אמורים להיות מוגדלים בחלון צף,התכנים באתר מוגדלים בחלון צף ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""מדריך קריאה"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""מדריך קריאה""",אמור להיות סרגל וירטואלי שעוקב אחרי הסמן ,נוצר סרגל וירטואלי שעוקב אחרי הסמן ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""מקלדת וירטואלית"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""מקלדת וירטואלית""",מקלדת וירטואלית אמורה להופיע על המסך,מקלדת וירטואלית הופיעה על המסך,עבר
,,,,
שם הבדיקה,"בדיקה של פתיחת לחצן ""כפתור הנגישות"" ",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",כפתור הנגישות ייפתח,כפתור הנגישות נפתח ,
3,"סגור את ""כפתור הנגישות""",כפתור הנגישות ייסגר,כפתור הנגישות נסגר אבל פופאפ של אודיו הופיע ואי אפשר לסגור אותו,נכשל
